Hour,Minute,Second,Milliseconds,Day,Month,Year,Latitude,Longitude,Speed,Angle,Altitude,Thermo1,Thermo2,Thermo3,Thermo4,Pressure,Squeal
13,18,39,609,10,4,17,37.55912,-77.45159,26.70,47.10,216.56,252.99,-197.94,-106.81,-105.77,1.96,0,
13,18,39,796,10,4,17,37.55910,-77.45162,26.70,47.10,216.56,253.10,-196.19,-106.81,-105.66,1.82,0,
13,18,40,0,10,4,17,37.55908,-77.45163,27.34,47.10,216.62,252.44,4.42,-105.22,-105.05,4.20,0,
13,18,40,187,10,4,17,37.55907,-77.45165,27.34,47.20,216.62,252.33,-2.50,-105.16,-105.11,3.63,0,
13,18,40,406,10,4,17,37.55905,-77.45166,27.49,47.20,216.74,252.72,-207.17,-105.00,-104.89,3.77,0,
13,18,40,609,10,4,17,37.55903,-77.45168,27.54,47.30,216.73,252.39,12.28,-105.33,-104.72,3.53,0,
13,18,40,796,10,4,17,37.55902,-77.45169,27.60,47.40,216.65,252.28,-218.49,-105.22,-104.89,2.96,0,
13,18,40,984,10,4,17,37.55900,-77.45171,27.65,47.50,216.59,252.11,-217.61,-104.89,-104.72,5.49,0,
13,18,41,203,10,4,17,37.55898,-77.45173,27.67,47.60,216.59,252.44,-218.21,-105.38,-104.83,5.92,0,
13,18,41,406,10,4,17,37.55896,-77.45175,27.67,47.70,216.59,252.44,-218.10,-105.27,-104.83,5.92,0,
13,18,41,609,10,4,17,37.55894,-77.45176,27.62,47.80,216.17,251.29,-118.68,-104.61,-104.61,4.44,0,
13,18,41,796,10,4,17,37.55892,-77.45178,27.58,48.00,216.17,251.34,1.73,-104.29,-104.72,3.87,0,
13,18,42,0,10,4,17,37.55890,-77.45179,27.52,48.10,215.90,251.89,-215.74,-104.45,-104.72,6.78,0,
13,18,42,203,10,4,17,37.55889,-77.45181,27.52,48.20,215.90,251.89,-210.19,-104.56,-104.78,6.63,0,
13,18,42,406,10,4,17,37.55886,-77.45182,27.38,48.20,215.55,251.89,9.92,-104.67,-104.94,3.73,0,
13,18,42,593,10,4,17,37.55885,-77.45183,27.35,48.20,215.61,251.78,-137.90,-104.78,-104.67,3.53,0,
13,18,42,796,10,4,17,37.55883,-77.45186,27.35,48.20,215.72,251.62,-217.06,-104.51,-104.72,5.30,0,
13,18,43,0,10,4,17,37.55881,-77.45188,27.35,48.20,215.72,251.40,-100.22,-104.94,-104.29,4.87,0,
13,18,43,203,10,4,17,37.55879,-77.45189,27.35,48.20,215.72,251.34,-94.01,-105.00,-104.34,9.07,0,
13,18,43,390,10,4,17,37.55878,-77.45190,27.26,48.20,216.01,251.95,-2.77,-104.56,-104.45,166.90,0,
13,18,43,609,10,4,17,37.55876,-77.45192,27.16,48.20,216.07,251.01,8.93,-104.40,-104.34,256.45,0,
13,18,43,796,10,4,17,37.55874,-77.45194,26.98,48.20,216.14,251.84,10.69,-104.12,-104.29,327.31,0,
13,18,44,0,10,4,17,37.55873,-77.45195,26.77,48.30,216.21,250.74,13.76,-104.34,-104.94,366.98,0,
13,18,44,187,10,4,17,37.55871,-77.45196,26.77,48.30,216.21,250.74,13.43,-104.40,-104.83,367.84,0,
13,18,44,406,10,4,17,37.55869,-77.45198,25.91,48.30,216.25,251.51,16.62,-103.96,-105.11,364.93,0,
13,18,44,609,10,4,17,37.55867,-77.45200,25.64,48.30,215.88,251.73,16.51,-104.29,-104.01,347.24,0,
13,18,44,796,10,4,17,37.55866,-77.45201,25.26,48.30,215.89,251.07,9.59,-104.23,-104.12,341.95,0,
13,18,44,984,10,4,17,37.55865,-77.45203,24.52,48.30,216.24,251.12,15.36,-104.45,-104.18,330.31,0,
13,18,45,203,10,4,17,37.55863,-77.45204,23.94,48.40,216.74,250.46,13.38,-104.67,-104.45,330.69,0,
13,18,45,406,10,4,17,37.55862,-77.45205,23.94,48.40,216.74,250.52,13.54,-104.61,-104.40,330.12,0,
13,18,45,609,10,4,17,37.55860,-77.45207,22.49,48.40,218.37,251.12,16.29,-105.60,-105.16,305.18,0,
13,18,45,796,10,4,17,37.55859,-77.45208,22.09,48.50,218.39,251.40,17.66,-105.99,-104.51,280.82,0,
13,18,46,0,10,4,17,37.55858,-77.45210,21.36,48.60,218.51,251.01,17.17,-106.81,-104.56,234.04,0,
13,18,46,406,10,4,17,37.55855,-77.45212,21.36,48.80,218.51,251.84,16.62,-106.98,-104.72,218.68,0,
13,18,46,593,10,4,17,37.55854,-77.45212,19.13,48.80,217.68,251.56,15.47,-107.58,-105.33,245.29,0,
13,18,46,796,10,4,17,37.55854,-77.45213,18.69,48.90,217.53,252.55,16.18,-108.52,-105.66,236.47,0,
13,18,47,0,10,4,17,37.55853,-77.45214,17.89,49.00,217.49,252.72,11.51,-109.34,-105.16,191.41,0,
13,18,47,203,10,4,17,37.55852,-77.45214,17.89,49.00,217.49,252.66,11.68,-109.39,-105.22,190.84,0,
13,18,47,390,10,4,17,37.55851,-77.45214,16.54,49.10,217.48,252.66,17.39,-110.27,-106.32,167.33,0,
13,18,47,609,10,4,17,37.55850,-77.45215,15.88,49.20,217.29,253.21,17.83,-110.22,-106.43,173.38,0,
13,18,47,796,10,4,17,37.55849,-77.45216,15.58,49.30,217.22,253.70,17.88,-110.99,-107.14,170.62,0,
13,18,48,0,10,4,17,37.55849,-77.45217,14.96,49.40,217.10,253.98,17.83,-111.32,-107.64,166.85,0,
13,18,48,187,10,4,17,37.55848,-77.45217,14.96,49.50,217.10,253.98,17.83,-111.32,-107.64,166.85,0,
13,18,48,406,10,4,17,37.55847,-77.45217,13.92,49.60,216.72,254.31,16.18,-112.58,-107.64,104.43,0,
13,18,48,609,10,4,17,37.55846,-77.45218,13.42,49.70,216.40,255.24,16.56,-112.58,-107.75,106.63,0,
13,18,48,796,10,4,17,37.55845,-77.45219,13.12,49.80,216.47,254.86,15.85,-112.80,-108.13,82.21,0,
13,18,48,984,10,4,17,37.55844,-77.45220,12.83,49.80,216.10,255.57,16.07,-113.68,-108.41,52.17,0,
13,18,49,203,10,4,17,37.55843,-77.45220,12.78,49.90,215.95,256.07,15.85,-114.01,-108.46,31.91,0,
