Hour,Minute,Second,Milliseconds,Day,Month,Year,Latitude,Longitude,Speed,Angle,Altitude,Thermo1,Thermo2,Thermo3,Thermo4,Pressure,Squeal
12,59,0,187,10,4,17,37.56732,-77.47727,0.00,67.70,284.81,112.36,17.00,27.50,26.73,408.13,0,
12,59,0,406,10,4,17,37.56732,-77.47727,0.00,67.70,284.81,112.31,16.95,27.50,26.73,405.22,0,
12,59,0,609,10,4,17,37.56732,-77.47727,0.00,67.70,341.82,111.71,16.56,27.17,26.84,330.31,0,
12,59,0,796,10,4,17,37.56732,-77.47727,0.01,67.70,273.16,111.43,16.34,27.44,26.18,138.72,0,
12,59,0,984,10,4,17,37.56732,-77.47727,0.01,67.70,198.13,111.54,16.07,26.95,26.84,4.77,0,
12,59,1,203,10,4,17,37.56732,-77.47727,0.01,67.70,196.10,111.49,16.45,26.62,26.73,3.01,0,
12,59,1,406,10,4,17,37.56732,-77.47727,0.01,67.70,196.10,111.43,16.40,26.56,26.78,3.01,0,
12,59,1,609,10,4,17,37.56732,-77.47727,0.00,67.70,141.36,110.94,15.91,26.40,26.73,4.92,0,
12,59,1,796,10,4,17,37.56732,-77.47727,0.00,67.70,271.85,111.32,16.07,26.62,27.06,5.73,0,
12,59,2,0,10,4,17,37.56732,-77.47727,0.01,67.70,264.96,111.71,16.45,26.84,26.95,3.63,0,
12,59,2,203,10,4,17,37.56732,-77.47727,0.01,67.70,264.96,111.49,16.45,26.84,26.95,3.01,0,
12,59,2,406,10,4,17,37.56732,-77.47727,0.00,67.70,241.59,111.49,16.40,26.45,26.84,3.96,0,
12,59,2,593,10,4,17,37.56732,-77.47727,0.00,67.70,181.22,111.71,16.01,26.34,26.78,2.49,0,
12,59,2,796,10,4,17,37.56732,-77.47727,0.01,67.70,234.99,111.65,16.40,26.51,27.06,7.64,0,
12,59,3,0,10,4,17,37.56732,-77.47727,0.01,67.70,260.72,111.32,16.23,26.78,26.73,5.01,0,
12,59,3,203,10,4,17,37.56732,-77.47727,0.01,67.70,260.72,111.38,16.18,26.78,26.73,5.16,0,
12,59,3,390,10,4,17,37.56732,-77.47727,0.01,67.70,252.08,112.15,15.85,26.29,27.17,5.06,0,
12,59,3,609,10,4,17,37.56732,-77.47727,0.01,67.70,252.08,111.49,15.80,26.67,27.00,1.48,0,
12,59,3,796,10,4,17,37.56732,-77.47727,0.01,67.70,264.79,111.49,15.36,26.73,27.22,5.97,0,
12,59,4,0,10,4,17,37.56732,-77.47727,0.00,67.70,313.06,111.54,15.36,26.89,27.22,6.63,0,
12,59,4,187,10,4,17,37.56732,-77.47727,0.00,67.70,313.06,111.60,15.30,26.84,27.17,6.49,0,
12,59,4,406,10,4,17,37.56732,-77.47727,0.01,67.70,189.51,111.54,15.58,26.73,27.28,4.87,0,
12,59,4,609,10,4,17,37.56732,-77.47727,0.02,67.70,218.69,112.64,15.19,26.29,27.44,9.16,0,
12,59,4,796,10,4,17,37.56732,-77.47727,0.03,67.70,234.47,111.82,15.47,26.84,27.17,78.87,0,
12,59,4,984,10,4,17,37.56732,-77.47727,0.14,67.70,238.94,111.71,15.19,26.67,27.66,145.39,0,
12,59,5,203,10,4,17,37.56732,-77.47727,0.22,67.70,227.99,112.20,15.19,26.34,27.11,234.80,0,
12,59,5,406,10,4,17,37.56732,-77.47727,0.22,67.70,227.99,112.26,15.19,26.34,27.06,239.00,0,
12,59,5,609,10,4,17,37.56732,-77.47727,0.05,67.70,245.66,112.15,13.71,26.51,27.17,399.21,0,
12,59,5,796,10,4,17,37.56732,-77.47727,0.05,67.70,212.44,111.87,14.20,26.78,27.22,426.01,0,
12,59,6,0,10,4,17,37.56732,-77.47727,0.03,67.70,189.60,112.36,11.95,26.51,27.44,464.45,0,
